clave,valor,decimales,desv
c3-acc-ataque,76.8,1,
c3-acc-benigno,74.5,1,
c3-asr,98.7,1,
c3-c-acc,62.2,1,1.2
c3-c-coste,355,0,
c3-c-f1,58.9,1,1.5
c3-clasico-acc,79.0,1,
c3-clasico-f1,78.5,1,
c3-coste-compilacion,1.03,2,
c3-coste-escala,0.36,2,
c3-ece-bruto,0.340,3,
c3-ece-calibrado,0.043,3,
c3-fn,36,0,
c3-fp,37,0,
c3-fraccion-lm,93.7,1,
c3-kappa-modelo,0.513,3,
c3-latencia-p95,1.30,2,
c3-o-acc,72.7,1,2.8
c3-o-coste,653,0,
c3-o-f1,72.7,1,2.8
c3-ofuscacion-caida,1.3,1,
c3-p-acc,59.4,1,0.2
c3-p-coste,263,0,
c3-p-f1,52.9,1,0.2
c3-rec-limpio,76.8,1,
c3-rec-ofuscado,75.5,1,
c3-vn,108,0,
c3-vp,119,0,
c4-acc,75.3,1,
c4-acc-cortos,76.0,1,
c4-acc-largos,72.9,1,
c4-acc-media,72.1,1,0.4
c4-contaminacion-gap,4.3,1,
c4-f1,75.3,1,
c4-f1-ataque,75.9,1,
c4-f1-benigno,73.2,1,
c4-fraccion-vacilante,33.7,1,
c4-juez-kappa,0.254,3,
c4-kappa,0.506,3,
c4-latencia-p50,0.84,2,
c4-latencia-p95,1.20,2,
c4-mcc,0.506,3,
c4-perfil-fn,43.4,1,
c4-perfil-fp,56.6,1,
c4-umbral-optimo,0.05,2,
c4-var-decodificacion,0.9,1,
c4-var-muestreo,1.1,1,
c4-vecino-duplicados,70.3,1,
c4-vecino-sim,0.913,3,
c5-bootstrap-acc,74.3,1,
c5-bootstrap-comp,0.00,2,
c5-bootstrap-f1,74.3,1,
c5-bootstrap-inf,701,0,
c5-ensemble-ganancia,0.0,1,
c5-k-optimo,8,0,
c5-labeled-acc,68.7,1,
c5-labeled-comp,0.00,2,
c5-labeled-f1,68.3,1,
c5-labeled-inf,659,0,
c5-random-acc,75.7,1,
c5-random-comp,1.03,2,
c5-random-f1,75.6,1,
c5-random-inf,651,0,
c5-zeroshot-acc,62.7,1,
c5-zeroshot-comp,0.00,2,
c5-zeroshot-f1,59.3,1,
c5-zeroshot-inf,354,0,
c6-base-acc,62.3,1,
c6-base-comp,0.00,2,
c6-base-f1,59.2,1,
c6-base-inf,352,0,
c6-copro-acc,66.0,1,
c6-copro-comp,0.34,2,
c6-copro-f1,64.4,1,
c6-copro-inf,350,0,
c6-gepa-acc,74.3,1,
c6-gepa-comp,1.09,2,
c6-gepa-f1,73.9,1,
c6-gepa-inf,2432,0,
c6-mipro-acc,72.3,1,
c6-mipro-comp,0.50,2,
c6-mipro-f1,72.1,1,
c6-mipro-inf,868,0,
c7-agente-base,57.5,1,
c7-agente-react,22.5,1,
c7-densa-mrr,0.868,3,
c7-densa-r1,83.0,1,
c7-densa-r5,92.0,1,
c7-emb-bge-r5,92.0,1,
c7-emb-minilm-r5,96.0,1,
c7-fidelidad,57.0,1,
c7-hibrida-mrr,0.924,3,
c7-hibrida-r1,89.0,1,
c7-hibrida-r5,98.0,1,
c7-lexica-mrr,0.897,3,
c7-lexica-r1,87.0,1,
c7-lexica-r5,92.0,1,
c7-rag-base,70.0,1,
c7-rag-opt,72.0,1,
c7-troceado-40-r5,98.0,1,
c7-troceado-80-r5,98.0,1,
c7-troceado-doc-r5,92.0,1,
c9-latencia-delegacion,1.43,2,
c9-latencia-unpaso,0.61,2,
c9-pii-f1,46.1,1,
c9-pii-precision,38.9,1,
c9-pii-recall,56.6,1,
c9-pii-recall-contacto,94.7,1,
c9-pii-recall-financiero,87.1,1,
c9-pii-recall-localizacion,43.8,1,
c9-pii-recall-persona,38.5,1,
